EventTime,Measure,Class
8/17/2020 18:30,269,
8/17/2020 18:40,380,
8/17/2020 18:50,386,
8/17/2020 19:00,376,
8/17/2020 19:10,374,
8/17/2020 19:20,350,
8/17/2020 19:30,356,
8/17/2020 19:40,398,
8/17/2020 19:50,356,
8/17/2020 20:00,385,
8/17/2020 20:10,357,
8/17/2020 20:20,387,
8/17/2020 20:30,389,
8/17/2020 20:40,409,
8/17/2020 20:50,397,
8/17/2020 21:00,364,
8/17/2020 21:10,355,
8/17/2020 21:20,350,
8/17/2020 21:30,367,
8/17/2020 21:40,343,
8/17/2020 21:50,344,
8/17/2020 22:00,346,
8/17/2020 22:10,346,
8/17/2020 22:20,340,
8/17/2020 22:30,340,
8/17/2020 22:40,387,
8/17/2020 22:50,319,
8/17/2020 23:00,347,
8/17/2020 23:10,352,
8/17/2020 23:20,333,
8/17/2020 23:30,325,
8/17/2020 23:40,308,
8/17/2020 23:50,301,
8/18/2020 0:00,311,
8/18/2020 0:10,306,
8/18/2020 0:20,300,
8/18/2020 0:30,289,
8/18/2020 0:40,339,
8/18/2020 0:50,280,
8/18/2020 1:00,356,
8/18/2020 1:10,335,
8/18/2020 1:20,291,
8/18/2020 1:30,304,
8/18/2020 1:40,356,
8/18/2020 1:50,327,
8/18/2020 2:00,299,
8/18/2020 2:10,300,
8/18/2020 2:20,306,
8/18/2020 2:30,319,
8/18/2020 2:40,309,
8/18/2020 2:50,288,
8/18/2020 3:00,297,
8/18/2020 3:10,287,
8/18/2020 3:20,276,
8/18/2020 3:30,269,
8/18/2020 3:40,302,
8/18/2020 3:50,296,
8/18/2020 4:00,259,
8/18/2020 4:10,258,
8/18/2020 4:20,263,
8/18/2020 4:30,255,
8/18/2020 4:40,278,
8/18/2020 4:50,264,
8/18/2020 5:00,246,
8/18/2020 5:10,270,
8/18/2020 5:20,261,
8/18/2020 5:30,267,
8/18/2020 5:40,232,
8/18/2020 5:50,251,
8/18/2020 6:00,249,
8/18/2020 6:10,240,
8/18/2020 6:20,235,
8/18/2020 6:30,253,
8/18/2020 6:40,255,
8/18/2020 6:50,246,
8/18/2020 7:00,236,
8/18/2020 7:10,266,
8/18/2020 7:20,249,
8/18/2020 7:30,251,
8/18/2020 7:40,270,
8/18/2020 7:50,253,
8/18/2020 8:00,269,
8/18/2020 8:10,256,
8/18/2020 8:20,274,
8/18/2020 8:30,272,
8/18/2020 8:40,275,
8/18/2020 8:50,276,
8/18/2020 9:00,259,
8/18/2020 9:10,283,
8/18/2020 9:20,269,
8/18/2020 9:30,283,
8/18/2020 9:40,270,
8/18/2020 9:50,273,
8/18/2020 10:00,269,
8/18/2020 10:10,304,
8/18/2020 10:20,303,
8/18/2020 10:30,297,
8/18/2020 10:40,295,
8/18/2020 10:50,313,
8/18/2020 11:00,316,
8/18/2020 11:10,323,
8/18/2020 11:20,331,
8/18/2020 11:30,316,
8/18/2020 11:40,324,
8/18/2020 11:50,325,
8/18/2020 12:00,347,
8/18/2020 12:10,357,
8/18/2020 12:20,371,
8/18/2020 12:30,352,
8/18/2020 12:40,360,
8/18/2020 12:50,380,
8/18/2020 13:00,349,
8/18/2020 13:10,358,
8/18/2020 13:20,390,
8/18/2020 13:30,389,
8/18/2020 13:40,358,
8/18/2020 13:50,358,
8/18/2020 14:00,366,
8/18/2020 14:10,370,
8/18/2020 14:20,378,
8/18/2020 14:30,379,
8/18/2020 14:40,379,
8/18/2020 14:50,372,
8/18/2020 15:00,383,
8/18/2020 15:10,391,
8/18/2020 15:20,392,
8/18/2020 15:30,426,
8/18/2020 15:40,444,
8/18/2020 15:50,425,
8/18/2020 16:00,417,
8/18/2020 16:10,445,
8/18/2020 16:20,438,
8/18/2020 16:30,449,
8/18/2020 16:40,440,
8/18/2020 16:50,452,
8/18/2020 17:00,444,
8/18/2020 17:10,454,
8/18/2020 17:20,498,
8/18/2020 17:30,478,
8/18/2020 17:40,471,
8/18/2020 17:50,494,
8/18/2020 18:00,479,
8/18/2020 18:10,499,
8/18/2020 18:20,502,
8/18/2020 18:30,520,
8/18/2020 18:40,526,
8/18/2020 18:50,564,
8/18/2020 19:00,519,
8/18/2020 19:10,478,
